#
# U.S. Geological Survey
# National Water Information System
# Retrieved: 2022-10-26 05:12:41 EDT      (sdww02)
#
# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Further Descriptions of the parameter_cd column can be found at:
# https://waterdata.usgs.gov/nwis/pmcodes
# Further Descriptions of codes in the result_cd column can be found at:
# https://waterdata.usgs.gov/nwis/help?codes_help#surface_water
#
# This information includes the following fields:
#
#  agency_cd    Agency Code
#  station_nm   Station Name
#  site_no      USGS station number
#  ts_id        TimeSeries ID
#  parameter_cd Parameter Code
#  result_dt    Date that the result was taken
#  result_tz_cd Time datum
#  result_va    Current value
#  result_cd    Code to show data quality
#  result_md    Date the result was modified in the NWIS database
#
agency_cd	site_no	station_nm	ts_id	parameter_cd	result_dt	result_tz_cd	result_va	result_cd	result_md
5s	15s	50s	10n	5s	12d	6s	12s	2s	12d
USGS	02228500	NORTH PRONG ST. MARYS RIVER AT MONIAC, GA	30475	00065	2022-10-26 04:45:00	EDT	5.00		2022-10-26 04:48:44
USGS	02231000	ST. MARYS RIVER NEAR MACCLENNY, FL	30479	00065	2022-10-26 04:45:00	EDT	2.96		2022-10-26 04:55:53
USGS	02231254	ST MARY'S RIVER AT I-95, NEAR KINGSLAND, GA	39330	00065	2022-10-26 04:15:00	EDT	-0.86		2022-10-26 04:23:16
USGS	02231284	THOMAS CREEK AT SH 115 NR CALLAHAN, FLA.	310376	00065	2022-10-26 04:00:00	EST	9.51		2022-10-26 05:09:25
USGS	02231291	NASSAU RIVER NEAR TISONIA, FL	30482	00065	2022-10-26 04:30:00	EDT	10.52		2022-10-26 04:40:03
USGS	022313219	S-253 WEIR UPSTREAM NEAR FORT DRUM, FL	256068	00065	2022-10-26 04:15:00	EDT	24.02		2022-10-26 04:32:02
USGS	02231322	S-253 WEIR NEAR FORT DRUM, FL	164037	00065	2022-10-26 04:30:00	EDT	23.70		2022-10-26 04:39:24
USGS	02231342	FT DRUM CREEK AT SUNSHINE ST PKY NEAR FT DRUM, FL	30490	00065	2022-10-26 04:45:00	EDT	35.68		2022-10-26 04:55:53
USGS	02231396	BLUE CYPRESS CREEK NEAR FELLSMERE, FL	30492	00065	2022-10-26 04:45:00	EDT	26.88		2022-10-26 04:54:52
USGS	02231600	JANE GREEN CREEK NEAR DEER PARK, FL	30501	00065	2022-10-26 04:45:00	EDT	4.59		2022-10-26 04:53:54
USGS	02232000	ST. JOHNS RIVER NEAR MELBOURNE, FL	30505	00065	2022-10-26 04:30:00	EDT	5.91		2022-10-26 04:44:14
USGS	02232155	PENNYWASH CREEK NEAR DEER PARK, FL	30509	00065	2022-10-26 05:00:00	EDT	18.39		2022-10-26 05:08:03
USGS	02232200	WOLF CREEK NEAR DEER PARK, FL	30513	00065	2022-10-26 04:45:00	EDT	3.56		2022-10-26 04:53:54
USGS	02232400	ST. JOHNS RIVER NEAR COCOA, FL	30518	00065	2022-10-26 04:15:00	EDT	15.73		2022-10-26 04:29:02
USGS	02232415	TAYLOR CREEK NEAR COCOA, FL	257522	00065	2022-10-26 04:15:00	EDT	16.76		2022-10-26 04:21:54
USGS	02232500	ST. JOHNS RIVER NEAR CHRISTMAS, FL	30524	00065	2022-10-26 04:30:00	EDT	9.87		2022-10-26 04:44:44
USGS	02233475	LT ECONLOCKHATCHEE R AT STATE HWY434 NR OVIEDO, FL	30532	00065	2022-10-26 04:00:00	EDT	30.35		2022-10-26 04:12:56
USGS	02233484	ECONLOCKHATCHEE RIVER NEAR OVIEDO, FL	30536	00065	2022-10-26 04:30:00	EDT	15.99		2022-10-26 04:38:02
USGS	02233500	ECONLOCKHATCHEE RIVER NEAR CHULUOTA, FL	30540	00065	2022-10-26 04:45:00	EDT	8.76		2022-10-26 04:55:53
USGS	02234000	ST. JOHNS RIVER ABOVE LAKE HARNEY NEAR GENEVA, FL	30544	00065	2022-10-26 04:30:00	EDT	10.25		2022-10-26 04:44:44
USGS	02234308	HOWELL CREEK NEAR ALTAMONTE SPRINGS, FL	30551	00065	2022-10-26 04:30:00	EDT	59.68		2022-10-26 04:32:54
USGS	02234324	HOWELL CREEK NEAR SLAVIA, FL	30555	00065	2022-10-26 04:30:00	EDT	30.07		2022-10-26 04:33:54
