#
# U.S. Geological Survey
# National Water Information System
# Retrieved: 2022-10-03 18:36:03 EDT      (sdww02)
#
# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Further Descriptions of the parameter_cd column can be found at:
# https://waterdata.usgs.gov/nwis/pmcodes
# Further Descriptions of codes in the result_cd column can be found at:
# https://waterdata.usgs.gov/nwis/help?codes_help#surface_water
#
# This information includes the following fields:
#
#  agency_cd    Agency Code
#  station_nm   Station Name
#  site_no      USGS station number
#  ts_id        TimeSeries ID
#  parameter_cd Parameter Code
#  result_dt    Date that the result was taken
#  result_tz_cd Time datum
#  result_va    Current value
#  result_cd    Code to show data quality
#  result_md    Date the result was modified in the NWIS database
#
agency_cd	site_no	station_nm	ts_id	parameter_cd	result_dt	result_tz_cd	result_va	result_cd	result_md
5s	15s	50s	10n	5s	12d	6s	12s	2s	12d
USGS	02228500	NORTH PRONG ST. MARYS RIVER AT MONIAC, GA	30474	00060	2022-10-03 17:45:00	EDT	54.2		2022-10-03 17:48:53
USGS	02231000	ST. MARYS RIVER NEAR MACCLENNY, FL	30478	00060	2022-10-03 17:45:00	EDT	360		2022-10-03 17:55:45
USGS	02231254	ST MARY'S RIVER AT I-95, NEAR KINGSLAND, GA	39331	00060	2022-10-03 18:15:00	EDT	-18500		2022-10-03 18:24:04
USGS	02231291	NASSAU RIVER NEAR TISONIA, FL	169450	00060	2022-10-03 17:30:00	EDT	-19600		2022-10-03 17:40:55
USGS	02231342	FT DRUM CREEK AT SUNSHINE ST PKY NEAR FT DRUM, FL	30489	00060	2022-10-03 17:45:00	EDT	250		2022-10-03 17:55:45
USGS	02231396	BLUE CYPRESS CREEK NEAR FELLSMERE, FL	30493	00060	2022-10-03 17:45:00	EDT	550		2022-10-03 17:54:45
USGS	02231600	JANE GREEN CREEK NEAR DEER PARK, FL	30500	00060	2022-10-03 17:45:00	EDT	3530		2022-10-03 17:53:55
USGS	02232000	ST. JOHNS RIVER NEAR MELBOURNE, FL	30504	00060	2022-10-03 17:45:00	EDT	7480		2022-10-03 17:50:43
USGS	02232155	PENNYWASH CREEK NEAR DEER PARK, FL	30510	00060	2022-10-03 18:00:00	EDT	67.8		2022-10-03 18:07:54
USGS	02232200	WOLF CREEK NEAR DEER PARK, FL	30512	00060	2022-10-03 17:45:00	EDT	166		2022-10-03 17:53:55
USGS	02232400	ST. JOHNS RIVER NEAR COCOA, FL	30517	00060	2022-10-03 18:15:00	EDT	4010		2022-10-03 18:29:53
USGS	02232415	TAYLOR CREEK NEAR COCOA, FL	257523	00060	2022-10-03 18:15:00	EDT	487		2022-10-03 18:17:54
USGS	02232500	ST. JOHNS RIVER NEAR CHRISTMAS, FL	30523	00060	2022-10-03 03:45:00	EDT	3590		2022-10-03 17:45:13
USGS	02233475	LT ECONLOCKHATCHEE R AT STATE HWY434 NR OVIEDO, FL	30533	00060	2022-10-03 18:00:00	EDT	1070		2022-10-03 18:12:43
USGS	02233484	ECONLOCKHATCHEE RIVER NEAR OVIEDO, FL	30535	00060	2022-10-03 17:30:00	EDT	5040		2022-10-03 17:38:43
USGS	02233500	ECONLOCKHATCHEE RIVER NEAR CHULUOTA, FL	30539	00060	2022-10-03 17:45:00	EDT	6550		2022-10-03 17:56:54
USGS	02234000	ST. JOHNS RIVER ABOVE LAKE HARNEY NEAR GENEVA, FL	169454	00060	2022-09-30 21:00:00	EDT	Fld		2022-10-03 12:45:54
USGS	02234308	HOWELL CREEK NEAR ALTAMONTE SPRINGS, FL	30552	00060	2022-08-14 16:30:00	EDT	Rat		2022-08-14 16:33:57
USGS	02234324	HOWELL CREEK NEAR SLAVIA, FL	30554	00060	2022-10-03 18:30:00	EDT	425		2022-10-03 18:33:44
USGS	02234344	HOWELL CREEK AT STATE HWY 434 NEAR OVIEDO, FL	30559	00060	2022-10-03 17:30:00	EDT	763		2022-10-03 17:38:43
USGS	02234384	SOLDIER CREEK NEAR LONGWOOD, FL	30561	00060	2022-10-03 18:30:00	EDT	256		2022-10-03 18:35:53
USGS	02234400	GEE CREEK NEAR LONGWOOD, FL	30565	00060	2022-10-03 18:00:00	EDT	182		2022-10-03 18:16:54
USGS	02234435	LAKE JESUP OUTLET NEAR SANFORD, FL	169455	00060	2022-10-02 06:00:00	EDT	606		2022-10-03 01:44:01
USGS	02234500	ST. JOHNS RIVER NEAR SANFORD, FL	30575	00060	2022-10-03 11:15:00	EDT	14400		2022-10-03 17:45:13
USGS	02234990	LITTLE WEKIVA RIVER NEAR ALTAMONTE SPRINGS, FL	173310	00060	2022-10-03 17:30:00	EDT	550		2022-10-03 17:38:03
